Rok_Kraj;Volici_Kraj;Ucast_Kraj;Strana;Hlasy_Kraj;Rok_PSP;Volici_PSP;Ucast_PSP;Hlasy_PSP
2000;894615;284275;ODS;81777;2002;918747;537201;144176
2000;894615;284275;CSSD;45050;2002;918747;537201;169381
2000;894615;284275;KSCM;62358;2002;918747;537201;100312
2004;925330;277453;ODS;123897;2006;943840;620047;243012
2004;925330;277453;CSSD;46358;2006;943840;620047;190607
2004;925330;277453;KSCM;52779;2006;943840;620047;79964
2008;967991;396873;ODS;130242;2010;986970;630203;150465
2008;967991;396873;CSSD;139564;2010;986970;630203;129368
2008;967991;396873;KSCM;54594;2010;986970;630203;69368
2012;1006408;349796;ODS;64101;2013;1029440;627492;55594
2012;1006408;349796;CSSD;76255;2013;1029440;627492;115756
2012;1006408;349796;KSCM;71975;2013;1029440;627492;90478
2016;1026801;350539;ODS;45759;2017;1047853;660633;85429
2016;1026801;350539;CSSD;48226;2017;1047853;660633;43853
2016;1026801;350539;KSCM;35534;2017;1047853;660633;47695
